as_of,name,tweet_volume
2020-11-24T04:24:23Z,Donald Trump,1688038
2020-11-24T05:25:46Z,Donald Trump,1806510
2020-11-24T05:25:46Z,Joe Biden,1208661
2020-11-24T06:27:10Z,Donald Trump,2019587
2020-11-24T06:27:10Z,Joe Biden,1826935
2020-11-24T07:28:35Z,Donald Trump,3294357
2020-11-24T07:28:35Z,Joe Biden,1987963
2020-11-24T08:29:57Z,Donald Trump,3300186
2020-11-24T08:29:57Z,Joe Biden,1999269
2020-11-24T09:31:18Z,Joe Biden,2007923
2020-11-24T09:31:18Z,Donald Trump,3301623
2020-11-27T03:55:19Z,Donald Trump,1985360
2020-11-27T03:55:19Z,Joe Biden,1173232
2020-11-27T04:56:35Z,Donald Trump,1976894
2020-11-27T04:56:35Z,Joe Biden,1170173
2020-11-27T05:57:49Z,Donald Trump,1991781
2020-11-27T05:57:49Z,Joe Biden,1173631
2020-11-27T06:59:00Z,Donald Trump,1994684
2020-11-27T06:59:00Z,Joe Biden,1175314
2020-11-28T06:28:10Z,Donald Trump,1196851
2020-11-28T07:29:22Z,Donald Trump,1126603
2020-12-05T05:57:48Z,Joe Biden,1303752
2020-12-07T07:07:10Z,Donald Trump,2160546
2020-12-07T08:08:27Z,Donald Trump,1915298
2020-12-09T07:10:44Z,Donald Trump,2419137
2020-12-09T08:12:15Z,Donald Trump,2429366
2020-12-09T09:13:32Z,Donald Trump,2433084
2020-12-12T03:41:17Z,Donald Trump,2702369
2020-12-12T04:42:40Z,Donald Trump,2729083
2020-12-12T05:44:01Z,Donald Trump,2772246
2020-12-12T05:44:01Z,Joe Biden,1961909
2020-12-12T06:45:23Z,Donald Trump,2778515
2020-12-12T06:45:23Z,Joe Biden,1948745
2020-12-12T07:46:42Z,Donald Trump,2377501
2020-12-12T07:46:42Z,Joe Biden,1938725
2020-12-12T08:48:01Z,Donald Trump,1617984
2020-12-12T09:49:18Z,Donald Trump,1307301
2020-12-15T04:17:40Z,Donald Trump,2888948
2020-12-15T05:19:02Z,Donald Trump,2916657
2020-12-15T06:20:22Z,Donald Trump,2768561
2020-12-15T07:21:41Z,Joe Biden,2137836
2020-12-15T07:21:41Z,Donald Trump,2614731
2020-12-15T08:22:58Z,Joe Biden,2177031
2020-12-15T08:22:58Z,Donald Trump,2369895
2020-12-15T09:24:16Z,Joe Biden,1992413
2020-12-23T07:35:14Z,Donald Trump,2469320
2020-12-23T08:36:32Z,Donald Trump,3093421
2020-12-26T07:08:16Z,Donald Trump,1313306
2020-12-29T06:41:20Z,Donald Trump,2258835
